id,email,password,active,status,is_verified,profile_complete,otp_code,otp_expires,created_at,updated_at
1,user1@example.com,$2y$10$7OIYLdX3BDiL7giN/NQt/etgENkg7rdhqSo5jMuJ/de5vsHZtoKPy,0,pending,1,0,,,"2025-11-23 18:55:19","2025-11-23 18:55:19"
2,user2@example.com,$2y$10$UCvT8PMWci31hB7UXkNtwejdx639cjZ2JKYhOIv61w45kORAz2Zi6,2,approved,0,0,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
3,otcpaid@mail.com,$2y$10$c1wb6UmoDdpMQVL3IMtG/O5U8vxeCS8KPSx72Y.fwBNgZ8jD8LAsq,1,approved,1,1,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
4,otcuser@mail.com,$2y$10$Xi5lWf24a9/oKchJ2uU8x.sOhpDEtA5S4AtZE/uUfyda7UIlGT6s.,1,approved,1,1,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
5,user1_1@mail.com,$2y$10$kaOu81FVg/uWMZwYvV8MKeJhfG833lJmaNHJtrTJhFyaJ91IKRGNu,1,approved,1,1,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
6,user1_2@mail.com,$2y$10$Syk3gEQu7fsiVwrUAwyep.hffAESwHHzARmmo2NXvRI9rT/uPetE2,1,approved,1,1,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
7,user1_3@mail.com,$2y$10$nA8CMC83CimCea3zicQIEOzRIM6JKLkg3cnUNUqBdC5htSqXI1rHm,1,approved,1,1,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
8,user1_4@mail.com,$2y$10$FxMKT9tV8OPvNATiGStaWud8/FqMmdq6Qx.5jf/w2nwukKJc.EWEC,1,approved,1,1,,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
9,user1_5@mail.com,$2y$10$klISW4ompI5yf/Kz5oDit.CveJETnBxEvnkVCKUqS0yPBrdYBXuGO,1,approved,1,1,,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
10,user2_1@mail.com,$2y$10$U96d7C2UgBJK54a.5v1Y9.k1BYPEQPQb2EFTExC7Val3m/cfibqUO,1,approved,1,1,,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
11,user2_2@mail.com,$2y$10$cfEIkKE0RZPa0vaOL5EF9.zuF.yxzP.oLegBW3YXK4i99fTs1.5yG,1,approved,1,1,,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
12,user2_3@mail.com,$2y$10$kHltWZvnk1S6gV/9R5Url.q.McTMj5itdeRZ4AN4.wyPCJGrnrcvK,1,approved,1,1,,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
13,user2_4@mail.com,$2y$10$fSKnqgv3TG3vlxSUbwbZWOXwh407aSOqV/jn7N8Eksnaazh0Ltelm,1,approved,1,1,,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
